tidak_baku,kata_baku
aaahh,ah
abis,habis
abiz,habis
ad,ada
add,ada
ade,adek
aduhh,aduh
aduhhh,aduh
aduuh,aduh
aduuuh,aduh
ae,saja
aelah,alah
agk,agak
ahh,ah
ahhh,ah
aj,saja
aja,saja
ajaa,saja
ajah,saja
aje,saja
ak,aku
akn,akan
akuu,aku
am,sama
ama,sama
amatt,amat
amiinn,amin
ampe,sampai
ampunn,ampun
anak2,anak-anak
ancur,hancur
anj,anjing
anjay,anjing
anjir,anjing
anjirr,anjir
anjirrr,anjir
anjirrrr,anjir
ank,anak
anugrah,anugerah
ap,apa
apa2,apa-apa
apaa,apa
apaaa,apa
apaaan,apaan
apah,apa
apain,apai
ape,apa
apus,hapus
aq,aku
astagaa,astaga
atu,satu
ayooo,ayo
bagaimna,bagaimana
baget,banget
bagus2,bagus-bagus
baguss,bagus
bagusss,bagus
bagussss,bagus
bandingin,bandingkan
bang,abang
bangeet,banget
banget,sangat
bangett,sangat
bangettt,sangat
bangetttt,banget
bangettttt,banget
banggain,banggakan
bangke,bangkai
baruu,baru
bat,banget
bawa2,bawa-bawa
bayangin,bayangkan
bedain,membedakan
beliin,belikan
belom,belum
benar2,benar-benar
bener,benar
bener2,benar-benar
beneran,benaran
benerr,benar
berati,berarti
berhentii,berhenti
berhyenti,berhenti
bet,banget
bettt,banget
beud,banget
bg,bang
bgini,begini
bgitu,begitu
bgni,begini
bgs,bagus
bgt,sangat
bgtt,banget
bgttt,banget
bgus,bagus
biarin,biarkan
bikin,membuat
bikinnya,pembuatannya
bird,biru
bisaa,bisa
bisaaa,bisa
bkan,bukan
bkin,membuat
bkn,bukan
blm,belum
blum,belum
bnget,banget
bngt,sangat
bnyak,banyak
bnyk,banyak
bolang,bocah petualang
boong,bohong
bpknya,bapaknya
br,baru
brbuat,berbuat
brp,berapa
brsama,bersama
bs,bisa
bsa,bisa
buat,membuat
bukak,buka
bund,bunda
burem,buram
burik,buruk
buriq,buruk
busuk,busuk
bwt,buat
byk,banyak
c,sih
cape,capek
cem,macam
cepet,cepat
cewe,perempuan
cm,cuma
cmn,cuma
co,cowok
cok,cok
cokk,cok
cowo,cowok
cowok,laki-laki
coyyy,coy
cr,cara
cuyyy,cuy
cwek,cewek
d,di
daah,dah
dah,sudah
dahh,dah
dapet,dapat
dapetin,mendapatkan
de,deh
deh,deh
dehh,deh
denger,dengar
dengerin,mendengarkan
dg,dengan
dgn,dengan
dh,dah
dibuat,dibuat
diem,diam
dijadiin,dijadikan
diliat,dilihat
diliatnya,dilihatnya
dipake,dipakai
ditayangin,ditayangkan
dlm,dalam
dlu,dulu
dn,dan
dngan,dengan
dngn,dengan
do,di
doank,doang
dpt,dapat
dr,dari
dri,dari
dripada,daripada
drpada,daripada
drpd,daripada
duhhh,duh
duluu,dulu
ehh,eh
ehhh,eh
elu,lu
emang,memang
emangnya,memangnya
emg,memang
emng,memang
engga,tidak
expresi,ekspresi
fans,fan
fav,favorit
filem,film
fillm,film
filmny,filmnya
flm,film
g,tidak
ga,tidak
gaa,tidak
gaada,tidak ada
gabisa,tidak bisa
gada,tidak ada
gaje,tidak jelas
gajelas,tidak jelas
gak,tidak
gakuat,tidak kuat
gamau,tidak mau
gapernah,tidak pernah
gapunya,tidak punya
gara2,gara-gara
garfik,grafik
gatau,tidak tau
gausa,tidak usah
gausah,tidak usah
gg,tidak
gilaa,gila
gilaaa,gila
gilaaaa,gila
gilak,gila
gile,gila
gimana,bagaimana
gini,begini
ginian,beginian
gitu,begitu
gituu,begitu
gk,tidak
gmn,bagaimana
gni,begini
gokil,gila
gt,begitu
gtu,begitu
gw,gue
