publishedAt,authorDisplayName,textDisplay,likeCount,type
2025-08-28T08:45:34Z,@SyafeQah1990,Cartoon ni masuk pawagam...??..,0,comment
2025-08-28T08:29:35Z,@HusnaNurul-m6h,ini yg katanya film mengeluarkan dan sampe miliyaran😂😂 ini film apa game android karakter kaku garfik buriqq nonton filem ini serasa nonton game ank kecil,0,comment
2025-08-28T08:14:10Z,@AlvinoAWP,Burung.nya.suara.monyet.cok🗿🗿,0,comment
2025-08-28T07:56:15Z,@arkanpradipta8934,"<a href=""https://www.youtube.com/watch?v=6jdG2WQEgyI&amp;t=39"">0:39</a> apalah ada AMK M4",0,comment
2025-08-28T07:50:36Z,@galangadimaskhrisnaherlamb4053,bahkan jurasik park 1993 lebih bagus dari ini,1,comment
2025-08-28T07:46:02Z,@cloweystar,national disgrace. even a daz3d h*ntai is better than this 😂😂,0,comment
2025-08-28T07:32:15Z,@Haris1604-i3l,ASLI BURIQ - Lebih Bagus Grafik FREE FIRE 😁,0,comment
2025-08-28T07:01:48Z,@afikakorizen,&quot;berhyenti Jan lanjyut&quot; suaranya slay amat,0,comment
2025-08-28T06:46:56Z,@montero2iey,Tidakkan gua beli di pasar jrr pertualangannya sampai ke tempat rwhasia mending ambil emas 😂😂,0,comment
2025-08-28T06:35:57Z,@Ajengayuning17,Beta buka gudang benderanya hilank,1,comment
2025-08-28T06:33:27Z,@AhmadYunus-wo7xc,so tuff gng,0,comment
2025-08-28T06:14:52Z,@MasitohMasitoh-yy6qm,Mata ku sakit grafik Majapahit,0,comment
2025-08-28T06:01:02Z,@Ripalmuhtar,tolong ini suara burung nya di ganti malah suara monyet,0,comment
2025-08-28T05:55:09Z,@mahaakun2,Animasi dari  dark web ini 😂,0,comment
2025-08-28T05:43:40Z,@Alvino68-x,rudal aja aki aki nya,0,comment
2025-08-28T05:37:13Z,@lyzael-k2l,animasi plagiat gini 🤣,0,comment
2025-08-28T05:02:11Z,@GatauAuuu,bagusan buatan konten kreyator you tube yg modal 67k,0,comment
2025-08-28T04:38:17Z,@najlapinter7705,kalau bendera hilang iya beli 🤣🤣🤣,1,comment
2025-08-28T04:18:13Z,@ZainalArifin-zy5kh,Geli😂,0,comment
2025-08-28T03:39:25Z,@winarsihnarsih7466,biaya elit animasi sulit🙏,0,comment
2025-08-28T03:24:30Z,@RizkyMaulana-f9e,"Caracter game ini mah,grafik smoot",0,comment
2025-08-28T02:58:03Z,@aleymahfud7302,Kan pas nyari bendera lewat pasar lah kenapa gk beli bendera di pasar mana nyari bendera nya sampe ke hutan hutan lagi,0,comment
2025-08-28T02:27:17Z,@MariaDacosta-r2s,&quot;Beta buka gudang anggarannya hilang&quot;,0,comment
2025-08-28T02:14:32Z,@natananandra5929,Mayan nih buat hukuman koruptor,0,comment
2025-08-28T01:40:27Z,@Danil-i7g4j,ahh najisss nyeee,0,comment
2025-08-28T00:49:44Z,@Attar-V5,"Kenapa sampe lewat hutan wak😹 <a href=""https://www.youtube.com/watch?v=6jdG2WQEgyI&amp;t=122"">2:02</a>",0,comment
2025-08-27T23:33:38Z,@YosafatWanda,Beta buka gudang bendera hilang,0,comment
2025-08-27T22:44:45Z,@Cecep_SiRailfans,"Keluarga somat aja grafik nya aja lebih bagus. Ini mah, animasi jaman orde lama🗿🔥",0,comment
2025-08-27T21:36:48Z,@Itzkitty_Xd,&quot;Beta buka gudang anggarannya kok hilang&quot; 😂,0,comment
2025-08-27T21:21:45Z,@Along_fed,"pehh, sgt terkesan pada aku. kerna bisa bikin aku galau juga esmosi terus. aku wakil warga Malaysia, sudah bangga dgn kartun sebelumnya(JUMBO) Alih2 karya yg ini👎😞😞🫣🫣. maaf andai k0mentar aku buatkn sahabat Indonesia marah pd aku. to, aku harus jujur agar karya seterusnya bisa saingi karya kartun Malaysia, bisa kalahkn kami juga lebih bagus, maka kami akn berusaha lebih agar bisa kalahkn semula karya Indonesia. bersaing secara sehat dan profesional, agar bisa maju kehadapannya. salam MALINDO DAMAI. ASSALAMUALAIKUM..",0,comment
2025-08-27T20:34:41Z,@legamnyooooo17,ANIMASI TAI,0,comment
2025-08-27T20:15:23Z,@Dikarosi,ga layak tayang dan ditonton😌,0,comment
2025-08-27T20:14:24Z,@Dikarosi,diliat negara orang woi,0,comment
2025-08-27T20:13:32Z,@Dikarosi,gw yg nonton malu banget anjayyy😭,0,comment
2025-08-27T18:26:38Z,@f1r3hunt3rz5,"Oh, um.... Impressive.<br>- Malaysian",0,comment
2025-08-27T17:12:13Z,@Teguh35529,Ngelag😂,0,comment
2025-08-27T16:23:48Z,@DRMIbrahimAdamF,"Saje nak tanya, dari Malaysia, korang hisap substance apa sebelum buat filem ni? Kongsi sikit",0,comment
2025-08-27T16:03:42Z,@anandaaji571,Wah klo dijadikan nominasi kartun terbaik di dunia pasti menang ini. MenangGUNG malu.,0,comment
2025-08-27T15:38:21Z,@Irfan-sr6fp,Jenis narkoboy apa yg dikonsumsi yg membuat animasi ini 😂,0,comment
2025-08-27T15:04:46Z,@hurrydotkom5339,jelek banget gilak,0,comment
2025-08-27T15:01:18Z,@imasmaolani999,Sampah,0,comment
2025-08-27T14:35:48Z,@Faruq-l6w,Sakit cokk mata aku,0,comment
2025-08-27T14:35:30Z,@DORALA-z2e,Film apaan nih jelek banget burung kakatua suara monyet terus kenapa bendera disandera salah bendera apa? Itu tadi pas awal awal ada bendera banyak kenapa gak pakek itu aja terus ada senjata api saat cowok menyebrangi jembatan kayu kepala nya patah tiba tiba langsung nyemplung kolam terus anak baju merah tembus teman nya sendiri dan anak cewek jatuh itu kenapa gak ada rasa sakit harus nya muka nya sakit ini diam karton apa ini😢,0,comment
2025-08-27T14:24:50Z,@Hafizhnama-w4r,Bersyukur saja,0,comment
2025-08-27T14:15:13Z,@alien_t9,S̺u̺r̺a̺ b̺u̺r̺u̺n̺g̺ s̺u̺r̺a̺ m̺o̺n̺y̺e̺t̺🤭🗿🗿,0,comment
2025-08-27T14:11:27Z,@EdwinProkmadani-k1g,Ini animasi atau Green screen doang burik bet!,1,comment
2025-08-27T14:08:19Z,@Yoiki_kolip,Bajet miliarran grafik 80 an,0,comment
2025-08-27T14:08:06Z,@Yoiki_kolip,Bajet miliarran grafik 80 an,0,comment
2025-08-27T14:05:18Z,@EgyZul,Apakah ada ff one for all,0,comment
2025-08-27T13:49:41Z,@AkbarMaulana-di3xi,Jatuh di tengah pindahnya ke kiri,1,comment
2025-08-27T13:49:23Z,@AkbarMaulana-di3xi,Sejak kapan mencari bendera langsung ke India,2,comment
2025-08-27T13:49:07Z,@AkbarMaulana-di3xi,Sejak kapan suara burung suaranya monyet aneh hewannya burung suaranya monyet,1,comment
2025-08-27T13:48:48Z,@RezaEza-m4b,"My eyessss <a href=""https://www.youtube.com/watch?v=6jdG2WQEgyI&amp;t=40"">0:40</a>  haa liatituh ada senjata jr marakas kartel kali y😂",1,comment
2025-08-27T13:36:37Z,@Test-Note,This is ass 😔💔,0,comment
2025-08-27T13:19:41Z,@Nasi_stecuu25,"Kualitas jelek suara kurang film nya ngga jelas masa hewan nya burung suara nya monyet terus karakter nya kurang masa nyari bendera sampe hutan kan tinggal beli aja jirrr terus kenapa bendera nya di taruh di gudang tempat penyimpanan senjata gitu ya lawak emg serius ini buat film kek gini 6,7 m kyk gini bahkan Ai aja biasa buat animasi lebih bagus dari ini dengan uang 100 ribu doang jir kwkwkw",0,comment
2025-08-27T13:19:22Z,@Literally_Jasminee,grafiknya gak enak dilihat<br>sampai sampai tidak gampang diketahui kalau itu movie,0,comment
2025-08-27T13:18:14Z,@sarahkarim2136,burung nya bunyi monyet cuy,0,comment
2025-08-27T13:17:37Z,@1vy_DaPl4nt,Awful,0,comment
2025-08-27T13:13:40Z,@yektiutaminingsih7633,Ya beli lagi lah benderanya ngapain malah jadi bolang🗿,0,comment
2025-08-27T13:13:34Z,@ONE-PEACE-8ks,aduhh kebelet ee&#39; uuu 😂😂,0,comment
2025-08-27T13:09:27Z,@9HDavinaaulia,Udah engak izin dari kartunya🤬🤬,0,comment
2025-08-27T13:04:40Z,@xxgangxxgang,"<a href=""https://www.youtube.com/watch?v=6jdG2WQEgyI&amp;t=71"">1:11</a>",1,comment
2025-08-27T13:05:08Z,@xxgangxxgang,Duhhh😹,0,reply
2025-08-27T12:53:27Z,@DiegoSeniman,&quot;Beta buka markas kartel benderanya hilang&quot;,0,comment
2025-08-27T12:53:25Z,@ResqyCatur,Jumbo udh ngebanggain indonesia ini malah ngemaluin indonesia,0,comment
2025-08-27T12:51:53Z,@PuputMentari-wp9wq,Berhenti. Jangan lanjyutt...~😂😂,0,comment
2025-08-27T12:41:52Z,@fitrirusdiana3840,"<a href=""https://www.youtube.com/watch?v=6jdG2WQEgyI&amp;t=42"">0:42</a> kartel jir🗿🗿🗿",0,comment
2025-08-27T12:38:07Z,@syren.71,Masterpiece,0,comment
